Hugo_Symbol,mean,sd
AP4S1,5.9454155,0.1534077
APAF1,7.636446,0.32613906
APBA1,5.322135,0.12916808
APBA2,5.3875976,0.17625663
APBA3,7.8591866,0.3428957
APBB1,5.418424,0.18685585
APBB1IP,7.8838196,0.6720515
APBB2,6.2511134,0.44819105
APBB3,8.805719,0.6160787
APC,5.3589253,0.1750808
APC2,5.4114184,0.14896607
APCDD1,6.8539205,0.67616385
APCDD1L,6.451549,0.91346616
APCS,5.7622204,0.17249821
APEH,9.411368,0.43771946
APEX1,9.615913,0.5111976
APEX2,8.578315,0.4575762
APH1A,6.589238,0.576355
APH1B,7.7436357,0.6666276
API5,9.13517,0.37621468
APIP,7.8220634,0.56035435
APLF,5.39055,0.12801257
APLN,5.842019,0.40276003
APLNR,7.9169226,0.6672538
APLP1,5.9923368,0.8404356
APLP2,8.836873,0.6097418
APOA1,5.4123797,0.27708685
APOA2,5.4810095,0.14753138
APOA4,5.2466946,0.12347431
APOA5,5.3157735,0.13994789
APOB,5.3855953,0.1464349
APOBEC1,5.344498,0.1425152
APOBEC2,5.358302,0.18078367
APOBEC3A,5.341773,0.18143629
APOBEC3B,6.1350093,0.74645156
APOBEC3C,5.962549,0.31441832
APOBEC3D,5.3233447,0.14945303
APOBEC3F,6.544721,0.5182585
APOBEC3G,7.039924,0.76795316
APOBEC3H,5.871453,0.3792746
APOBEC4,5.2748265,0.14279918
APOC1,10.006805,1.0189614
APOC2,6.31806,0.5986067
APOC3,5.3688774,0.14442115
APOD,11.16077,1.9085534
APOE,11.607429,0.814688
APOF,5.5729256,0.34882757
APOH,5.2144713,0.1410926
APOL1,5.908928,0.24400039
APOL2,6.596785,0.49716482
APOL3,7.9492283,0.7668177
APOL4,5.500752,0.2251934
APOL5,5.3997817,0.13944241
APOL6,5.6963387,0.2715017
APOLD1,6.9217944,0.54241055
APOM,6.3945837,0.40606517
APOO,7.448022,0.48411065
APOOL,6.1307945,0.3544654
APP,10.378902,0.941985
APPBP2,8.351455,0.60088044
APPL1,6.7504177,0.405149
APPL2,8.334025,0.4672391
APRT,9.149352,0.54598695
APTX,8.400165,0.3999717
